SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,248 Myrtle St,San Francisco,CA,94109,875000,2,,San Francisco,975,3828,1900,1,897,461,Active,,,http://www.redfin.com/CA/San-Francisco/248-Myrtle-St-94109/home/1491675,San Francisco MLS,421544867,N,Y,37.7852487,-122.4221514
MLS Listing,,Single Family Residential,4353 17th St,San Francisco,CA,94114,899000,1,1.0,San Francisco,685,1123,1909,1,1312,,Active,,,http://www.redfin.com/CA/San-Francisco/4353-17th-St-94114/home/1299551,San Francisco MLS,421544792,N,Y,37.7619358,-122.4417445
MLS Listing,,Condo/Co-op,1268 Dolores St,SAN FRANCISCO,CA,94110,1389000,2,2.0,SAN FRANCISCO,1267,2473,2012,2,1096,232,Active,,,http://www.redfin.com/CA/San-Francisco/1268-Dolores-St-94110/home/40454946,MLSListings,ML81841792,N,Y,37.7490964,-122.4252083
MLS Listing,,Condo/Co-op,109 South Lake Merced Hls Unit 3C,San Francisco,CA,94132,849000,2,2.0,San Francisco,1247,15336,1975,2,681,906,Active,,,http://www.redfin.com/CA/San-Francisco/109-S-Lake-Merced-Hls-94132/unit-3C/home/928576,San Francisco MLS,421544323,N,Y,37.7100088,-122.4836353
MLS Listing,,Single Family Residential,1324 20th St,San Francisco,CA,94107,1295000,2,1.0,San Francisco,1000,1646,1925,4,1295,,Active,,,http://www.redfin.com/CA/San-Francisco/1324-20th-St-94107/home/1662764,San Francisco MLS,421543012,N,Y,37.7602596,-122.3948918
MLS Listing,,Condo/Co-op,1 Baker St Unit 4A,SAN FRANCISCO,CA,94117,1348998,2,2.0,SAN FRANCISCO,1337,,1982,11,1009,875,Active,,,http://www.redfin.com/CA/San-Francisco/1-Baker-St-94117/unit-4A/home/598282,MLSListings,ML81840303,N,Y,37.770968,-122.4407319
MLS Listing,,Multi-Family (2-4 Unit),82 Landers St,San Francisco,CA,94114,2395000,3,3.0,San Francisco,2117,3125,1903,36,1131,,Active,,,http://www.redfin.com/CA/San-Francisco/82-Landers-St-94114/home/1093547,San Francisco MLS,421532622,N,Y,37.7665349,-122.4280219
MLS Listing,,Single Family Residential,542 Rhode Island St,San Francisco,CA,94107,2398000,3,2.0,San Francisco,,2500,1938,38,,,Active,,,http://www.redfin.com/CA/San-Francisco/542-Rhode-Island-St-94107/home/727244,San Francisco MLS,421531300,N,Y,37.7628828,-122.4026251
MLS Listing,,Condo/Co-op,5800 3Rd St #1211,San Francisco,CA,94124,680000,1,1.0,Portola District,817,,2010,73,832,432,Active,,,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1211/home/40625857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938478,N,Y,37.7253452,-122.3948096
MLS Listing,,Condo/Co-op,855 Folsom St #510,San Francisco,CA,94107,930000,1,1.5,San Francisco,1030,55687,2001,76,903,722,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-510/home/12398153,San Francisco MLS,421520348,N,Y,37.7808956,-122.4019503
MLS Listing,,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,1000000,2,2.0,San Francisco,915,,2005,108,1093,639,Active,,,http://www.redfin.com/CA/San-Francisco/1635-California-St-94109/unit-24/home/12277015,San Francisco MLS,511753,N,Y,37.7901978,-122.4213309
Redfin Data,,Single Family Residential,1403 Hudson Ave,San Francisco,CA,94124,1998000,4,2.5,San Francisco,3282,3424,2007,4,609,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/1403-Hudson-Ave-94124/home/21967406,Coming Soon,70188,N,Y,37.737751,-122.384753
MLS Listing,,Single Family Residential,480 Kansas St,San Francisco,CA,94107,2099000,3,2.0,San Francisco,,2500,1930,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/480-Kansas-St-94107/home/729102,San Francisco MLS,421544915,N,Y,37.7637961,-122.4037425
